RAILLINK_I,출발역,종착역,LENGTH,호선,,,,,,,
4100222,삼전,석촌고분,0.8,서울지하철9호선,,,,,,,
4100223,석촌,석촌고분,1,서울지하철9호선,,,,,,,
4100224,송파나루,석촌,0.8,서울지하철9호선,,,,,,,
4100225,송파나루,한성백제,0.8,서울지하철9호선,,,,,,,
4100226,한성백제,올림픽공원(한국체대),1.4,서울지하철9호선,,,,,,,
4100227,올림픽공원(한국체대),둔촌오륜,1,서울지하철9호선,,,,,,,
4100228,중앙보훈병원,둔촌오륜,1.7,서울지하철9호선,,,,,,,
4100471,용산,효창공원앞,1.5,경의중앙선(수도권전철),,,,,,,
4100472,효창공원앞,공덕,1,경의중앙선(수도권전철),,,,,,,
9010007,송정,김포공항,2.3,공항철도,,,,,,,
9010008,수색,마곡나루,2.3,공항철도,,,,,,,
9010009,홍대입구,디지털미디어시티,3.4,공항철도,,,,,,,
9010010,공덕,서강대,2.8,공항철도,,,,,,,
9010011,서울역,효창공원앞,3.3,공항철도,,,,,,,
9010012,수색,화전,2.2,경의중앙선(수도권전철),,,,,,,
9010013,마곡나루,마곡나루,6.3,공항철도,,,,,,,
